File1:Right,Left.
File2:Left,Right.
File3:Center,Left.
File4:Left,Center.
File5:Right,Center.
File6:Center,Center.
File7:Right,Right.
File8:Left,Left.
File9:Center,Right.
File10:Right,Center.
File11:Center,Left.
File12:Right,Right.
File13:Left,Center.
File14:Right,Center.
File15:Center,Right.
File16:Right,Left.
File17:Left,Right.
File18:Right,Center.
File19:Left,Left.
File20:Center,Center.
File21:Center,Right.
File22:Left,Right.
File23:Center,Left.
File24:Left,Center.
File25:Right,Left.
File26:Left,Left.
File27:Right,Right.
File28:Center,Center.
File29:Right,Center.
File30:Left,Left.
File31:Center,Left.
File32:Left,Right.
File33:Right,Left.
File34:Left,Center.
File35:Center,Center.
File36:Right,Right.
File37:Right,Center.
File38:Center,Right.
File39:Right,Right.
File40:Center,Left.
File41:Left,Center.
File42:Right,Left.
File43:Left,Left.
File44:Right,Center.
File45:Right,Right.
File46:Left,Right.
File47:Center,Center.
File48:Center,Right.
File49:Right,Right.
File50:Center,Left.
File51:Right,Right.
File52:Left,Right.
File53:Right,Left.
File54:Left,Center.
File55:Center,Center.
File56:Right,Left.
File57:Center,Right.
File58:Left,Left.
File59:Right,Center.
File60:Center,Right.
File61:Left,Left.
File62:Right,Right.
File63:Left,Center.
File64:Center,Left.
File65:Left,Right.
File66:Right,Left.
File67:Left,Center.
File68:Center,Center.
File69:Center,Right.
File70:Left,Right.
File71:Center,Left.
File72:Left,Left.
File73:Center,Center.
File74:Right,Center.
File75:Center,Right.
File76:Left,Center.
File77:Right,Left.
File78:Left,Left.
File79:Center,Center.
File80:Center,Left.
File81:Left,Right.
File82:Left,Right.
